Problem:    floorplan
Rows:       729
Columns:    370 (370 integer, 343 binary)
Non-zeros:  2536
Status:     INTEGER NON-OPTIMAL
Objective:  obj = 6 (MINimum)

   No.   Row name        Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
     1 obj                         6                             
   280 check4[7,6]                -7           -32               
   281 check4[7,7]               -12           -32               
   282 check4[7,8]                -1           -31               
   283 check4[7,9]                43           -31               
   284 check4[7,10]               39           -29               
   285 check4[7,11]               33           -29               
   286 check4[7,12]               -5           -29               
   287 check4[7,13]               -8           -29               
   288 check4[8,1]                 0           -32               
   289 check4[8,2]                -1           -32               
   290 check4[8,3]                -4           -32               
   291 check4[8,4]                -5           -32               
   292 check4[8,5]                -6           -32               
   293 check4[8,6]                -7           -32               
   294 check4[8,7]               -12           -32               
   295 check4[8,8]               -13           -32               
   296 check4[8,9]                44           -31               
   297 check4[8,10]               40           -29               
   298 check4[8,11]               34           -29               
   299 check4[8,12]               -4           -29               
   300 check4[8,13]               -7           -29               
   301 check4[9,1]                 0           -32               
   302 check4[9,2]                -1           -32               
   303 check4[9,3]                -4           -32               
   304 check4[9,4]                -5           -32               
   305 check4[9,5]                -6           -32               
   306 check4[9,6]                -7           -32               
   307 check4[9,7]               -12           -32               
   308 check4[9,8]               -13           -32               
   309 check4[9,9]                -1           -32               
   310 check4[9,10]               -4           -29               
   311 check4[9,11]              -10           -29               
   312 check4[9,12]              -16           -29               
   313 check4[9,13]              -19           -29               
   314 check4[10,1]                0           -32               
   315 check4[10,2]               -1           -32               
   316 check4[10,3]               -4           -32               
   317 check4[10,4]               -5           -32               
   318 check4[10,5]               -6           -32               
   319 check4[10,6]               -7           -32               
   320 check4[10,7]              -12           -32               
   321 check4[10,8]              -13           -32               
   322 check4[10,9]               -1           -32               
   323 check4[10,10]
                                  -2           -32               
   324 check4[10,11]
                                  -9           -29               
   325 check4[10,12]
                                 -15           -29               
   326 check4[10,13]
                                 -18           -29               
   327 check4[11,1]                0           -32               
   328 check4[11,2]               -1           -32               
   329 check4[11,3]               -4           -32               
   330 check4[11,4]               -5           -32               
   331 check4[11,5]               -6           -32               
   332 check4[11,6]               -7           -32               
   333 check4[11,7]              -12           -32               
   334 check4[11,8]              -13           -32               
   335 check4[11,9]               -1           -32               
   336 check4[11,10]
                                  -2           -32               
   337 check4[11,11]
                                  -8           -32               
   338 check4[11,12]
                                  -9           -29               
   339 check4[11,13]
                                 -12           -29               
   340 check4[12,1]                0           -32               
   341 check4[12,2]               -1           -32               
   342 check4[12,3]               -4           -32               
   343 check4[12,4]               -5           -32               
   344 check4[12,5]               -6           -32               
   345 check4[12,6]               -7           -32               
   346 check4[12,7]              -12           -32               
   347 check4[12,8]              -13           -32               
   348 check4[12,9]               -1           -32               
   349 check4[12,10]
                                  -2           -32               
   350 check4[12,11]
                                  -8           -32               
   351 check4[12,12]
                                 -14           -32               
   352 check4[12,13]
                                  -6           -29               
   353 check4[13,1]                0           -32               
   354 check4[13,2]               -1           -32               
   355 check4[13,3]               -4           -32               
   356 check4[13,4]               -5           -32               
   357 check4[13,5]               -6           -32               
   358 check4[13,6]               -7           -32               
   359 check4[13,7]              -12           -32               
   360 check4[13,8]              -13           -32               
   361 check4[13,9]               -1           -32               
   362 check4[13,10]
                                  -2           -32               
   363 check4[13,11]
                                  -8           -32               
   364 check4[13,12]
                                 -14           -32               
   365 check4[13,13]
                                 -20           -32               
   366 check5[1,1]                 0                          32 
   367 check5[1,2]                 0                          31 
   368 check5[1,3]                 0                          31 
   369 check5[1,4]                 0                          31 
   370 check5[1,5]                 0                          31 
   371 check5[1,6]                 0                          31 
   372 check5[1,7]                 0                          31 
   373 check5[1,8]                 0                          31 
   374 check5[1,9]                -3                          31 
   375 check5[1,10]               -3                          31 
   376 check5[1,11]               -3                          31 
   377 check5[1,12]                0                          31 
   378 check5[1,13]                0                          31 
   379 check5[2,1]                 0                          32 
   380 check5[2,2]                 0                          32 
   381 check5[2,3]                 0                          31 
   382 check5[2,4]                 0                          31 
   383 check5[2,5]                 0                          31 
   384 check5[2,6]                 0                          31 
   385 check5[2,7]                 0                          31 
   386 check5[2,8]                 0                          31 
   387 check5[2,9]                29                          31 
   388 check5[2,10]               -3                          31 
   389 check5[2,11]               -3                          31 
   390 check5[2,12]                0                          31 
   391 check5[2,13]                0                          31 
   392 check5[3,1]                 0                          32 
   393 check5[3,2]                 0                          32 
   394 check5[3,3]                 0                          32 
   395 check5[3,4]                 0                          31 
   396 check5[3,5]                 0                          31 
   397 check5[3,6]                 0                          31 
   398 check5[3,7]                 0                          31 
   399 check5[3,8]                 0                          31 
   400 check5[3,9]                29                          31 
   401 check5[3,10]               29                          31 
   402 check5[3,11]               -3                          31 
   403 check5[3,12]                0                          31 
   404 check5[3,13]                0                          31 
   405 check5[4,1]                 0                          32 
   406 check5[4,2]                 0                          32 
   407 check5[4,3]                 0                          32 
   408 check5[4,4]                 0                          32 
   409 check5[4,5]                 0                          31 
   410 check5[4,6]                 0                          31 
   411 check5[4,7]                 0                          31 
   412 check5[4,8]                 0                          31 
   413 check5[4,9]                29                          31 
   414 check5[4,10]               29                          31 
   415 check5[4,11]               -3                          31 
   416 check5[4,12]                0                          31 
   417 check5[4,13]                0                          31 
   418 check5[5,1]                 0                          32 
   419 check5[5,2]                 0                          32 
   420 check5[5,3]                 0                          32 
   421 check5[5,4]                 0                          32 
   422 check5[5,5]                 0                          32 
   423 check5[5,6]                 0                          31 
   424 check5[5,7]                 0                          31 
   425 check5[5,8]                 0                          31 
   426 check5[5,9]                29                          31 
   427 check5[5,10]               29                          31 
   428 check5[5,11]               -3                          31 
   429 check5[5,12]                0                          31 
   430 check5[5,13]                0                          31 
   431 check5[6,1]                 0                          32 
   432 check5[6,2]                 0                          32 
   433 check5[6,3]                 0                          32 
   434 check5[6,4]                 0                          32 
   435 check5[6,5]                 0                          32 
   436 check5[6,6]                 0                          32 
   437 check5[6,7]                -2                          27 
   438 check5[6,8]                -2                          27 
   439 check5[6,9]                27                          27 
   440 check5[6,10]               27                          27 
   441 check5[6,11]               27                          27 
   442 check5[6,12]               -2                          27 
   443 check5[6,13]               -2                          27 
   444 check5[7,1]                 0                          32 
   445 check5[7,2]                 0                          32 
   446 check5[7,3]                 0                          32 
   447 check5[7,4]                 0                          32 
   448 check5[7,5]                 0                          32 
   449 check5[7,6]                 0                          32 
   450 check5[7,7]                 0                          32 
   451 check5[7,8]                 0                          31 
   452 check5[7,9]                29                          31 
   453 check5[7,10]               29                          31 
   454 check5[7,11]               29                          31 
   455 check5[7,12]                0                          31 
   456 check5[7,13]                0                          31 
   457 check5[8,1]                 0                          32 
   458 check5[8,2]                 0                          32 
   459 check5[8,3]                 0                          32 
   460 check5[8,4]                 0                          32 
   461 check5[8,5]                 0                          32 
   462 check5[8,6]                 0                          32 
   463 check5[8,7]                 0                          32 
   464 check5[8,8]                 0                          32 
   465 check5[8,9]                29                          31 
   466 check5[8,10]               29                          31 
   467 check5[8,11]               29                          31 
   468 check5[8,12]                0                          31 
   469 check5[8,13]                0                          31 
   470 check5[9,1]                 0                          32 
   471 check5[9,2]                 0                          32 
   472 check5[9,3]                 0                          32 
   473 check5[9,4]                 0                          32 
   474 check5[9,5]                 0                          32 
